path_id,coord_x,coord_y
1,424,305
1,418,329
1,408,346
1,405,326
1,405,300
1,405,274
1,408,246
1,408,222
1,407,196
1,415,163
1,404,136
1,401,109
1,386,86
1,379,64
1,365,87
1,358,108
1,347,131
1,329,156
1,318,186
1,307,208
1,295,231
1,287,256
1,281,284
1,276,311
1,271,340
1,269,315
1,246,299
1,233,272
1,223,250
1,207,228
1,199,202
1,194,169
1,183,142
1,170,115
1,164,92
1,161,63
2,138,318
2,168,263
2,210,219
2,261,189
2,329,175
2,382,177
2,434,201
2,461,225
2,491,265
2,507,297
2,528,323
3,208,303
3,146,266
3,146,172
3,230,100
3,331,106
3,369,124
3,430,125
3,492,100
3,527,71
4,47,252
4,119,277
4,167,289
4,247,278
4,288,265
4,324,272
4,363,315
4,360,347
4,357,380
4,324,406
4,299,401
4,273,386
4,266,361
4,242,343
4,195,344
4,171,359
4,165,384
4,183,418
4,240,453
4,283,463
4,354,464
4,393,458
4,427,439
4,452,419
4,482,390
4,504,358
4,520,323
4,523,277
4,510,218
4,493,182
4,455,155
4,400,133
4,329,123
4,259,140
4,208,165
4,146,146
4,114,110
4,113,66
4,143,31
4,201,19
4,248,17
4,289,16
4,327,27
4,367,36
4,403,39
4,435,35
4,470,29
4,501,34
4,544,61
4,569,92
4,577,119
4,586,149
4,601,168
5,348,442
5,224,312
5,208,119
5,565,270
6,542,65
6,492,107
6,507,174
6,556,276
6,493,313
6,392,305
6,379,256
6,370,226
6,338,217
6,317,220
6,307,238
6,304,257
6,301,285
6,293,298
6,272,312
6,252,313
6,238,300
6,229,287
6,218,255
6,206,230
6,178,216
6,148,217
6,134,235
6,129,249
6,118,274
6,118,301
6,114,314
6,133,349
6,147,357
6,174,370
6,187,386
6,189,398
6,173,422
6,161,429
6,138,435
6,108,437
6,95,437
6,71,426
6,41,395
6,26,350
6,19,312
6,22,285
6,34,261
6,49,239
6,62,219
6,62,195
6,47,172
6,45,155
6,62,131
6,84,119
6,107,113
6,135,115
6,158,133
6,183,144
6,211,148
6,238,142
6,251,124
6,258,113
6,266,109
6,275,107
6,292,107
6,311,104
6,326,92
6,343,67
7,281,228
7,300,199
7,268,177
7,214,131
7,246,87
7,182,73
7,123,65
7,107,47
8,80,281
8,131,215
8,182,292
8,234,209
8,225,110
8,323,122
8,325,288
9,485,289
9,422,331
9,331,357
9,276,289
9,194,234
9,144,321
9,108,221
9,174,144
9,167,84
10,208,303
10,146,266
10,146,172
10,230,100
10,331,106
10,369,124
10,430,125
10,492,100
10,527,71
11,434,352
11,282,193
11,598,175
11,485,278
12,240,263
12,330,174
12,391,324
12,512,313
12,503,383
12,567,269
